Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
36,2,852,2,5,4,2,2,2,82,2,1,7,1,2,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,No
33,3,1141,3,1,3,2,3,2,42,4,2,8,1,2,5376,3193,2,2,19,3,1,2,10,3,3,5,3,1,3,No
35,2,464,2,4,2,5,3,1,75,3,1,3,4,3,1951,10910,1,2,12,3,3,1,1,3,3,1,0,0,0,No
27,2,1240,2,2,4,2,4,2,33,3,1,3,1,3,2341,19715,1,2,13,3,4,1,1,6,3,1,0,0,0,No
26,2,1357,2,25,3,2,1,1,48,1,1,3,3,1,2293,10558,1,2,12,3,3,0,1,2,2,1,0,0,1,Yes
27,3,994,3,8,3,2,4,1,37,3,3,8,3,1,8726,2975,1,2,15,3,4,0,9,0,3,9,8,1,7,No
30,3,721,2,1,2,4,3,2,58,3,2,3,4,1,4011,10781,1,2,23,4,4,0,12,2,3,12,8,3,7,No
41,2,1360,2,12,3,6,2,2,49,3,5,6,3,2,19545,16280,1,2,12,3,4,0,23,0,3,22,15,15,8,Yes
34,1,1065,3,23,4,3,2,1,72,3,2,8,3,1,4568,10034,0,2,20,4,3,0,10,2,3,9,5,8,7,No
37,2,408,2,19,2,2,2,1,73,3,1,7,2,2,3022,10227,4,2,21,4,1,0,8,1,3,1,0,0,0,No
46,3,1211,3,5,4,3,1,1,98,3,2,8,4,1,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,No
35,2,1229,2,8,1,2,4,1,36,4,1,3,4,2,2269,4892,1,2,19,3,4,0,1,2,3,1,0,0,1,No
48,2,626,2,1,2,2,1,1,98,2,3,3,3,1,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,Yes
28,2,1434,2,5,4,6,3,1,50,3,1,3,3,1,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,Yes
44,2,1488,3,1,5,3,2,2,75,3,2,8,1,3,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,No
35,1,1097,2,11,2,4,3,1,79,2,3,1,1,2,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,No
26,2,1443,3,23,3,3,3,2,47,2,2,8,4,2,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,No
33,3,515,2,1,2,2,1,2,98,3,3,6,4,1,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,No
35,3,853,3,18,5,2,2,1,71,3,3,8,1,2,9069,11031,1,2,22,4,4,1,9,3,2,9,8,1,8,No
35,2,1142,2,23,4,4,3,2,30,3,1,3,1,2,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,No
31,2,655,2,7,4,2,4,1,48,3,2,3,4,3,5915,9528,3,2,22,4,4,1,10,3,2,7,7,1,7,No
37,2,1115,2,1,4,2,1,1,51,2,2,5,3,3,5993,2689,1,2,18,3,3,1,7,2,4,7,5,0,7,No
32,2,427,2,1,3,4,1,1,33,3,2,5,4,2,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,No
38,3,653,2,29,5,2,4,2,50,3,2,3,4,1,2406,5456,1,2,11,3,4,0,10,2,3,10,3,9,9,No
50,2,989,2,7,2,4,2,2,43,2,5,6,3,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,No
59,2,1435,3,25,3,2,1,2,99,3,3,8,1,1,7637,2354,7,2,11,3,4,0,28,3,2,21,16,7,9,No
36,2,1223,2,8,3,6,3,2,59,3,3,1,3,3,10096,8202,1,2,13,3,2,3,17,2,3,17,14,12,8,No
55,2,836,2,8,3,4,4,2,33,3,4,4,3,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,No
36,3,1195,2,11,3,2,2,1,95,2,2,5,2,1,6499,22656,1,2,13,3,3,0,6,3,3,6,5,0,3,No
45,2,1339,2,7,3,2,2,1,59,3,3,7,1,3,9724,18787,2,2,17,3,3,1,25,2,3,1,0,0,0,No
35,3,664,2,1,3,4,2,1,79,3,1,7,1,2,2194,5868,4,2,13,3,4,1,5,2,2,3,2,1,2,No
36,2,318,2,9,3,4,4,1,79,2,1,7,3,2,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,Yes
59,3,1225,3,1,1,2,1,2,57,2,2,8,3,1,5473,24668,7,2,11,3,4,0,20,2,2,4,3,1,3,No
29,2,1328,2,2,3,2,3,1,76,3,1,7,2,2,2703,4956,0,2,23,4,4,1,6,3,3,5,4,0,4,No
31,2,1082,2,1,4,4,3,1,87,3,1,7,2,1,2501,18775,1,2,17,3,2,0,1,4,3,1,1,1,0,No
32,2,548,2,1,3,2,2,1,66,3,2,7,2,2,6220,7346,1,2,17,3,2,2,10,3,3,10,4,0,9,No
36,2,132,2,6,3,2,2,2,55,4,1,3,4,2,3038,22002,3,2,12,3,2,0,5,3,3,1,0,0,0,No
31,2,746,2,8,4,2,3,2,61,3,2,5,4,1,4424,20682,1,2,23,4,4,0,11,2,3,11,7,1,8,No
35,2,776,3,1,4,3,3,1,32,2,2,8,1,1,4312,23016,0,2,14,3,2,0,16,2,3,15,13,2,8,No
45,2,193,2,6,4,5,4,1,52,3,3,6,1,2,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,No
37,2,397,2,7,4,4,1,1,30,3,3,6,3,1,13664,25258,4,2,13,3,1,0,16,3,4,5,2,0,2,No
46,2,945,1,5,2,4,2,1,80,3,2,2,2,3,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,No
30,2,852,2,1,1,2,4,1,55,2,2,3,4,2,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,No
35,2,1214,2,1,3,4,2,1,30,2,1,7,3,1,2859,26278,1,2,18,3,1,0,6,3,3,6,4,0,4,No
55,2,111,3,1,2,2,1,1,70,3,3,8,4,2,10239,18092,3,2,14,3,4,1,24,4,3,1,0,1,0,No
38,1,573,2,6,3,4,2,2,79,1,2,7,4,3,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,No
34,2,1153,2,1,2,4,1,1,94,3,2,5,2,2,4325,17736,1,2,15,3,3,0,5,2,3,5,2,1,3,No
56,2,1400,2,7,3,2,4,1,49,1,3,5,4,1,7260,21698,4,2,11,3,1,0,37,3,2,6,4,0,2,No
23,2,541,3,2,1,6,3,1,62,3,1,9,1,3,2322,9518,3,2,13,3,3,1,3,3,3,0,0,0,0,No
51,2,432,2,9,4,2,4,1,96,3,1,3,4,2,2075,18725,3,2,23,4,2,2,10,4,3,4,2,0,3,No
30,2,288,2,2,3,2,3,1,99,2,2,1,4,2,4152,15830,1,2,19,3,1,3,11,3,3,11,10,10,8,No
46,2,669,3,9,2,4,3,1,64,2,3,8,4,1,9619,13596,1,2,16,3,4,0,9,3,3,9,8,4,7,Yes
40,3,530,2,1,4,2,3,1,78,2,4,1,2,2,13503,14115,1,2,22,4,4,1,22,3,2,22,3,11,11,No
51,2,632,3,21,4,3,3,1,71,3,2,8,4,1,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,No
30,2,1334,3,4,2,4,3,2,63,2,2,8,2,3,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,No
46,3,638,2,1,3,4,3,1,40,2,3,1,1,2,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,No
32,2,1093,3,6,4,4,2,1,87,3,2,8,3,1,5010,24301,1,2,16,3,1,0,12,0,3,11,8,5,7,No
54,2,1217,2,2,4,6,1,2,60,3,3,6,3,2,13549,24001,9,2,12,3,1,1,16,5,1,4,3,0,3,No
24,2,1353,3,3,2,5,1,2,33,3,2,8,3,2,4999,17519,0,2,21,4,1,1,4,2,2,3,2,0,2,No
28,1,120,3,4,3,4,2,1,43,3,2,8,3,2,4221,8863,1,2,15,3,2,0,5,3,4,5,4,0,4,No
58,2,682,3,10,4,4,4,1,37,3,4,8,3,1,13872,24409,0,2,13,3,3,0,38,1,2,37,10,1,8,No
44,1,489,2,23,3,4,2,1,67,3,2,3,2,2,2042,25043,4,2,12,3,3,1,17,3,4,3,2,1,2,No
37,2,807,1,6,4,1,3,1,63,3,1,2,1,3,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,Yes
32,2,827,2,1,1,2,4,1,71,3,1,7,1,1,2956,15178,1,2,13,3,4,0,1,2,3,1,0,0,0,No
20,3,871,2,6,3,2,4,2,66,2,1,3,4,1,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,Yes
34,2,665,2,6,4,5,1,2,41,3,2,7,3,1,4809,12482,1,2,14,3,3,0,16,3,3,16,13,2,10,No
37,1,1040,2,2,2,2,3,1,100,2,2,1,4,3,5163,15850,5,2,14,3,4,1,17,2,4,1,0,0,0,No
59,1,1420,1,2,4,1,3,2,32,2,5,4,4,2,18844,21922,9,2,21,4,4,1,30,3,3,3,2,2,2,No
50,3,1115,2,1,3,2,1,2,73,3,5,6,2,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,No
25,2,240,3,5,3,3,3,1,46,2,2,8,3,1,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,Yes
25,2,1280,2,7,1,4,4,1,64,2,1,7,4,2,2889,26897,1,2,11,3,3,2,2,2,3,2,2,2,1,No
22,2,534,2,15,3,4,2,2,59,3,1,3,4,1,2871,23785,1,2,15,3,3,0,1,5,3,0,0,0,0,No
51,3,1456,2,1,4,4,1,2,30,2,3,1,1,1,7484,25796,3,2,20,4,3,0,23,1,2,13,12,12,8,No
34,3,658,2,7,3,2,1,1,66,1,2,3,3,1,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,Yes
54,1,142,1,26,3,1,4,2,30,4,4,4,4,1,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,No
24,2,1127,2,18,1,2,2,1,52,3,1,3,3,2,2774,13257,0,2,12,3,3,1,6,2,3,5,3,1,2,No
34,2,1031,2,6,4,2,3,2,45,2,2,7,2,3,4505,15000,6,2,15,3,3,1,12,3,3,1,0,0,0,No
37,2,1189,3,3,3,2,3,1,87,3,3,8,4,1,7428,14506,2,2,12,3,1,0,12,3,3,5,3,1,3,No
34,2,1354,2,5,3,4,3,2,45,2,3,4,1,1,11631,5615,2,2,12,3,4,0,14,6,3,11,10,5,8,No
36,3,1467,3,11,2,6,2,2,92,3,3,8,4,2,9738,22952,0,2,14,3,3,1,10,6,3,9,7,2,8,No
36,2,922,2,3,2,2,1,2,39,3,1,3,4,3,2835,2561,5,2,22,4,1,1,7,2,3,1,0,0,0,No
43,3,394,3,26,2,2,3,1,92,3,4,4,4,2,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,No
30,3,1312,2,23,3,2,1,1,96,1,1,7,3,3,2613,22310,1,2,25,4,3,3,10,2,2,10,7,0,9,No
33,1,750,3,22,2,3,3,1,95,3,2,8,2,2,6146,15480,0,2,13,3,1,1,8,2,4,7,7,0,7,No
56,2,441,2,14,4,2,2,2,72,3,1,7,2,2,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,Yes
51,2,684,2,6,3,2,1,1,51,3,5,6,3,1,19537,6462,7,2,13,3,3,0,23,5,3,20,18,15,15,No
31,2,249,3,6,4,2,2,1,76,1,2,8,3,2,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,Yes
26,2,841,2,6,3,5,3,2,46,2,1,7,2,2,2368,23300,1,2,19,3,3,0,5,3,2,5,4,4,3,No
58,2,147,2,23,4,4,4,2,94,3,3,1,4,2,10312,3465,1,2,12,3,4,1,40,3,2,40,10,15,6,Yes
19,2,528,3,22,1,3,4,1,50,3,1,9,3,1,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,Yes
22,2,594,2,2,1,6,3,1,100,3,1,3,4,2,2523,19299,0,2,14,3,3,1,3,2,3,2,1,2,1,No
49,2,470,2,20,4,4,3,2,96,3,2,5,1,2,6567,5549,1,2,14,3,3,0,16,2,2,15,11,5,11,No
43,3,957,2,28,3,4,2,2,72,4,1,7,3,1,4739,16090,4,2,12,3,4,0,18,2,3,3,2,1,2,No
50,3,809,3,12,3,3,3,2,77,3,3,8,4,1,9208,6645,4,2,11,3,4,0,16,3,3,2,2,2,1,No
31,2,542,3,20,3,2,2,2,71,1,2,8,3,2,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,Yes
41,2,802,3,9,1,2,3,1,96,3,3,8,3,3,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,No
26,2,1355,1,25,1,2,3,2,61,3,1,2,3,2,2942,8916,1,2,23,4,4,1,8,3,3,8,7,5,7,No
36,2,216,2,6,2,4,2,1,84,3,2,5,2,3,4941,2819,6,2,20,4,4,2,7,0,3,3,2,0,1,No
51,3,1150,2,8,4,2,1,1,53,1,3,5,4,1,10650,25150,2,2,15,3,4,0,18,2,3,4,2,0,3,Yes
39,2,1329,3,4,4,2,4,2,47,2,2,8,3,2,5902,14590,4,2,14,3,3,1,17,1,4,15,11,5,9,No
25,2,959,3,28,3,2,1,1,41,2,2,8,3,2,8639,24835,2,2,18,3,4,0,6,3,3,2,2,2,2,No
30,2,1240,1,9,3,1,3,1,48,3,2,2,4,2,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,No
32,2,1033,2,9,3,4,1,2,41,3,1,3,1,1,4200,10224,7,2,22,4,1,0,10,2,4,5,4,0,4,Yes
45,2,1316,2,29,3,4,3,1,83,3,1,7,4,1,3452,9752,5,2,13,3,2,0,9,2,2,6,5,0,3,No
38,2,364,2,3,5,6,4,2,32,3,2,7,3,1,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,No
30,2,438,2,18,3,2,1,2,75,3,1,7,3,1,2632,23910,1,2,14,3,3,0,5,4,2,5,4,0,4,No
32,3,689,3,9,2,4,4,1,35,1,2,8,4,3,4668,22812,0,2,17,3,4,3,9,2,4,8,7,0,7,No
30,2,201,2,5,3,6,4,2,84,3,1,7,1,3,3204,10415,5,2,14,3,4,1,8,3,3,3,2,2,2,No
30,2,1427,2,2,1,4,2,1,35,2,1,3,4,1,2720,11162,0,2,13,3,4,0,6,3,3,5,3,1,2,No
41,3,857,2,10,3,2,4,1,91,2,4,4,1,3,17181,12888,4,2,13,3,2,1,21,2,2,7,6,7,7,No
41,2,933,2,9,4,2,3,1,94,3,1,3,1,2,2238,6961,2,2,21,4,4,1,7,2,3,5,0,1,4,No
19,2,1181,2,3,1,4,2,2,79,3,1,3,2,1,1483,16102,1,2,14,3,4,0,1,3,3,1,0,0,0,No
40,3,1395,2,26,3,4,2,2,54,3,2,7,2,3,5605,8504,1,2,11,3,1,1,20,2,3,20,7,2,13,No
35,2,662,3,1,5,3,3,1,94,3,3,8,2,2,7295,11439,1,2,13,3,1,2,10,3,3,10,8,0,6,No
53,2,1436,3,6,2,3,2,1,34,3,2,9,3,2,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,No
45,2,194,2,9,3,2,2,1,60,3,2,3,2,3,2348,10901,8,2,18,3,3,1,20,2,1,17,9,0,15,No
32,3,967,3,8,3,3,2,2,43,3,3,8,4,1,8998,15589,1,2,14,3,4,0,9,2,3,9,8,3,7,No
29,1,1496,2,1,1,6,4,1,41,3,2,5,3,2,4319,26283,1,2,13,3,1,1,10,1,3,10,7,0,9,No
51,2,1169,2,7,4,4,2,1,34,2,2,5,3,2,6132,13983,2,2,17,3,3,0,10,2,3,1,0,0,0,No
58,2,1145,2,9,3,4,2,2,75,2,1,7,2,2,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,No
40,2,630,3,4,4,3,3,1,67,2,3,8,4,2,10855,8552,7,2,11,3,1,1,15,2,2,12,11,2,11,No
34,3,303,3,2,4,3,3,2,75,3,1,9,3,2,2231,11314,6,2,18,3,4,1,6,3,3,4,3,1,2,No
22,2,1256,2,19,1,4,3,1,80,3,1,7,4,2,2323,11992,1,2,24,4,1,2,2,6,3,2,2,2,2,No
27,1,691,2,9,3,4,4,1,57,3,1,7,2,3,2024,5970,6,2,18,3,4,1,6,1,1,2,2,2,2,No
28,2,440,2,21,3,4,3,1,42,3,1,7,4,2,2713,6672,1,2,11,3,3,1,5,2,1,5,2,0,2,No
57,2,334,2,24,2,2,3,1,83,4,3,1,4,3,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,No
27,1,1450,2,3,3,4,3,1,79,2,1,7,3,3,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,No
50,2,1452,2,11,3,2,3,2,53,3,5,4,2,1,19926,17053,3,2,15,3,2,0,21,5,3,5,4,4,4,No
41,2,465,2,14,3,2,1,1,56,3,1,7,3,3,2451,4609,4,2,12,3,1,1,13,2,3,9,8,1,8,No
30,2,1339,3,5,3,2,2,2,41,3,3,8,4,2,9419,8053,2,2,12,3,3,1,12,2,3,10,9,7,4,No
38,2,702,3,1,4,2,1,2,59,2,2,8,4,1,8686,12930,4,2,22,4,3,0,12,2,4,8,3,0,7,No
32,2,120,2,6,5,2,3,1,43,3,1,7,3,1,3038,12430,3,2,20,4,1,0,8,2,3,5,4,1,4,No
27,2,1157,2,17,3,6,3,1,51,3,1,7,2,2,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,No
19,3,602,3,1,1,6,3,2,100,1,1,9,1,1,2325,20989,0,2,21,4,1,0,1,5,4,0,0,0,0,Yes
36,3,1480,2,3,2,4,4,1,30,3,1,3,2,1,2088,15062,4,2,12,3,3,0,13,3,2,8,7,7,2,No
30,1,111,2,9,3,4,3,1,66,3,2,3,1,3,3072,11012,1,2,11,3,3,2,12,4,3,12,9,6,10,No
45,2,1268,3,4,2,2,3,2,30,3,2,8,1,3,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,No
56,2,713,2,8,3,2,3,2,67,3,1,7,1,3,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,No
33,2,134,2,2,3,2,3,1,90,3,1,7,4,1,2500,10515,0,2,14,3,1,0,4,2,4,3,1,0,2,No
19,2,303,2,2,3,2,2,1,47,2,1,3,4,1,1102,9241,1,2,22,4,3,0,1,3,2,1,0,1,0,Yes
46,2,526,3,1,2,3,2,2,92,3,3,8,1,3,10453,2137,1,2,25,4,3,3,24,2,3,24,13,15,7,No
38,2,1380,2,9,2,2,3,2,75,3,1,3,4,1,2288,6319,1,2,12,3,3,0,2,3,3,2,2,2,1,No
31,2,140,2,12,1,4,3,2,95,3,1,7,4,2,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,No
34,2,629,2,27,2,4,4,2,95,3,1,7,2,1,2311,5711,2,2,15,3,4,0,9,3,3,3,2,1,2,No
41,2,1356,3,20,2,3,2,2,70,3,1,9,2,1,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,Yes
50,2,328,2,1,3,4,3,1,86,2,1,3,3,2,3690,3425,2,2,15,3,4,1,5,2,2,3,2,0,2,No
53,2,1084,2,13,2,4,4,2,57,4,2,5,1,3,4450,26250,1,2,11,3,3,2,5,3,3,4,2,1,3,No
33,2,931,2,14,3,4,4,2,72,3,1,7,2,2,2756,4673,1,2,13,3,4,1,8,5,3,8,7,1,6,No
40,2,989,2,4,1,4,4,2,46,3,5,4,3,2,19033,6499,1,2,14,3,2,1,21,2,3,20,8,9,9,No
55,2,692,2,14,4,4,3,1,61,4,5,6,2,1,18722,13339,8,2,11,3,4,0,36,3,3,24,15,2,15,No
34,3,1069,2,2,1,2,4,1,45,2,2,5,3,2,9547,14074,1,2,17,3,3,0,10,2,2,10,9,1,9,No
51,2,313,2,3,3,4,4,2,98,3,4,1,2,1,13734,7192,3,2,18,3,3,0,21,6,3,7,7,1,0,No
52,2,699,2,1,4,2,3,1,65,2,5,4,3,2,19999,5678,0,2,14,3,1,1,34,5,3,33,18,11,9,No
27,2,894,2,9,3,4,4,2,99,3,1,7,2,1,2279,11781,1,2,16,3,4,0,7,2,2,7,7,0,3,No
35,2,556,2,23,2,2,2,1,50,2,2,5,3,2,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,Yes
43,1,1344,2,7,3,4,4,1,37,4,1,7,4,3,2089,5228,4,2,14,3,4,3,7,3,4,5,4,2,2,No
45,1,1195,2,2,2,4,1,1,65,2,4,4,4,2,16792,20462,9,2,23,4,4,1,22,1,3,20,8,11,8,No
37,2,290,2,21,3,2,2,1,65,4,1,7,1,2,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,No
35,3,138,2,2,3,4,2,2,37,3,2,3,2,1,4425,15986,5,2,11,3,4,0,10,5,3,6,2,1,2,No
42,1,926,2,21,2,4,3,2,36,3,2,5,3,3,5265,16439,2,2,16,3,2,1,11,5,3,5,3,0,2,No
38,2,1261,2,2,4,2,4,1,88,3,2,5,3,2,6553,7259,9,2,14,3,2,0,14,3,3,1,0,0,0,No
38,2,1084,2,29,3,6,4,1,54,3,2,5,4,2,6261,4185,3,2,18,3,1,1,9,3,1,7,7,1,7,No
27,3,472,2,1,1,6,3,1,60,2,2,5,1,2,4298,9679,5,2,19,3,3,1,6,1,3,2,2,2,0,No
49,1,1002,2,18,4,2,4,1,92,3,2,5,4,3,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,No
34,3,878,2,10,4,4,4,1,43,3,1,7,3,3,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,No
40,2,905,2,19,2,4,3,1,99,3,2,3,4,2,2741,16523,8,1,15,3,3,1,15,2,4,7,2,3,7,No
38,2,1180,2,29,1,4,2,1,70,3,2,1,1,2,6673,11354,7,1,19,3,2,0,17,2,3,1,0,0,0,Yes
29,2,121,3,27,3,3,2,2,35,3,3,8,4,2,7639,24525,1,2,22,4,4,3,10,3,2,10,4,1,9,Yes
22,2,1136,2,5,3,2,4,1,60,4,1,7,2,3,2328,12392,1,1,16,3,1,1,4,2,2,4,2,2,2,No
36,3,635,2,18,1,4,2,2,73,3,1,3,4,1,2153,7703,1,2,13,3,1,0,8,2,3,8,1,1,7,No
